dates,sub_id,status,months_since_first_subscription,active_months,canceled_months,months_since_status_change,confirmed_bookings
2020-12-01,122,canceled,8,4,5,5,2
2021-01-01,122,canceled,9,4,6,6,0
2021-02-01,122,canceled,10,4,7,7,1
2021-03-01,122,canceled,11,4,8,8,2
2021-04-01,122,canceled,12,4,9,9,0
2021-05-01,122,canceled,13,4,10,10,7
2021-06-01,122,canceled,14,4,11,11,3
2021-07-01,122,canceled,15,4,12,12,0
2021-08-01,122,canceled,16,4,13,13,0
2021-09-01,122,active,17,5,13,1,0
2021-10-01,122,active,18,6,13,2,0
2021-11-01,122,active,19,7,13,3,0
2021-12-01,122,active,20,8,13,4,0
2020-02-01,123,canceled,,0,1,,22
2020-03-01,123,canceled,,0,2,,9
2020-04-01,123,canceled,,0,3,,0
2020-05-01,123,canceled,,0,4,,5
2020-06-01,123,canceled,,0,5,,6
2020-07-01,123,canceled,,0,6,,3
2020-08-01,123,canceled,,0,7,,1
2020-09-01,123,active,0,1,7,1,0
2020-10-01,123,active,1,2,7,2,1
2020-11-01,123,active,2,3,7,3,1
2020-12-01,123,active,3,4,7,4,0
2021-01-01,123,active,4,5,7,5,3
2021-02-01,123,active,5,6,7,6,1
2021-03-01,123,canceled,6,6,8,1,0
2021-04-01,123,canceled,7,6,9,2,1
2021-05-01,123,active,8,7,9,1,4
2021-06-01,123,active,9,8,9,2,6
2021-07-01,123,active,10,9,9,3,0
2021-08-01,123,active,11,10,9,4,0
2021-09-01,123,canceled,12,10,10,1,0
2021-10-01,123,active,13,11,10,1,0
2021-11-01,123,active,14,12,10,2,0
2021-12-01,123,canceled,15,12,11,1,0
2020-06-01,124,canceled,,0,1,,4
2020-07-01,124,canceled,,0,2,,2
2020-08-01,124,canceled,,0,3,,1
2020-09-01,124,canceled,,0,4,,1
2020-10-01,124,canceled,,0,5,,4
2020-11-01,124,canceled,,0,6,,1
2020-12-01,124,canceled,,0,7,,0
2021-01-01,124,canceled,,0,8,,0
2021-02-01,124,canceled,,0,9,,2
2021-03-01,124,canceled,,0,10,,2
2021-04-01,124,canceled,,0,11,,2
2021-05-01,124,active,0,1,11,1,3
2021-06-01,124,active,1,2,11,2,8
2021-07-01,124,canceled,2,2,12,1,0
2021-08-01,124,canceled,3,2,13,2,0
2021-09-01,124,canceled,4,2,14,3,0
2021-10-01,124,active,5,3,14,1,0
2021-11-01,124,canceled,6,3,15,1,0
2020-01-01,125,active,0,1,0,,37
2020-02-01,125,active,1,2,0,,39
2020-03-01,125,active,2,3,0,,1
2020-04-01,125,active,3,4,0,,0
2020-05-01,125,active,4,5,0,,4
2020-06-01,125,active,5,6,0,,3
2020-07-01,125,active,6,7,0,,1
2020-08-01,125,canceled,7,7,1,1,3
2020-09-01,125,active,8,8,1,1,0
2020-10-01,125,active,9,9,1,2,1
2020-11-01,125,active,10,10,1,3,1
2020-12-01,125,active,11,11,1,4,1
2021-01-01,125,active,12,12,1,5,2
2021-02-01,125,canceled,13,12,2,1,2
2021-03-01,125,canceled,14,12,3,2,1
2021-04-01,125,canceled,15,12,4,3,4
2021-05-01,125,canceled,16,12,5,4,7
2021-06-01,125,canceled,17,12,6,5,8
2021-07-01,125,canceled,18,12,7,6,0
2021-08-01,125,canceled,19,12,8,7,0
2021-09-01,125,canceled,20,12,9,8,0
2021-10-01,125,active,21,13,9,1,0
2020-01-01,126,active,0,1,0,,48
2020-02-01,126,canceled,1,1,1,1,23
2020-03-01,126,canceled,2,1,2,2,1
2020-04-01,126,canceled,3,1,3,3,0
2020-05-01,126,canceled,4,1,4,4,4
2020-06-01,126,canceled,5,1,5,5,5
2020-07-01,126,canceled,6,1,6,6,5
2020-08-01,126,canceled,7,1,7,7,0
2020-09-01,126,active,8,2,7,1,0
2020-10-01,126,active,9,3,7,2,1
2020-11-01,126,active,10,4,7,3,2
2020-12-01,126,active,11,5,7,4,0
2021-01-01,126,active,12,6,7,5,1
2021-02-01,126,active,13,7,7,6,2
2021-03-01,126,active,14,8,7,7,0
2021-04-01,126,active,15,9,7,8,0
2021-05-01,126,active,16,10,7,9,9
2021-06-01,126,active,17,11,7,10,9
2021-07-01,126,active,18,12,7,11,0
2021-08-01,126,active,19,13,7,12,0
2021-09-01,126,active,20,14,7,13,0
2021-10-01,126,active,21,15,7,14,0
2021-11-01,126,active,22,16,7,15,0
2020-01-01,127,active,0,1,0,,35
2020-02-01,127,active,1,2,0,,26
2020-03-01,127,active,2,3,0,,6
2020-04-01,127,active,3,4,0,,1
2020-05-01,127,active,4,5,0,,2
2020-06-01,127,canceled,5,5,1,1,5
2020-07-01,127,active,6,6,1,1,4
2020-08-01,127,active,7,7,1,2,0
2020-09-01,127,canceled,8,7,2,1,0
2020-10-01,127,canceled,9,7,3,2,1
2020-11-01,127,canceled,10,7,4,3,1
2020-12-01,127,canceled,11,7,5,4,1
2021-01-01,127,canceled,12,7,6,5,3
2021-02-01,127,canceled,13,7,7,6,2
2021-03-01,127,canceled,14,7,8,7,4
2021-04-01,127,active,15,8,8,1,1
2021-05-01,127,active,16,9,8,2,7
2021-06-01,127,active,17,10,8,3,7
2021-07-01,127,active,18,11,8,4,0
2021-08-01,127,active,19,12,8,5,0
2021-09-01,127,active,20,13,8,6,0
2020-02-01,128,canceled,,0,1,,27
2020-03-01,128,canceled,,0,2,,4
2020-04-01,128,canceled,,0,3,,1
2020-05-01,128,canceled,,0,4,,1
2020-06-01,128,active,0,1,4,1,9
2020-07-01,128,active,1,2,4,2,3
2020-08-01,128,active,2,3,4,3,0
2020-09-01,128,active,3,4,4,4,0
2020-10-01,128,active,4,5,4,5,0
2020-11-01,128,active,5,6,4,6,0
2020-12-01,128,active,6,7,4,7,2
2021-01-01,128,active,7,8,4,8,1
2021-02-01,128,canceled,8,8,5,1,0
2021-03-01,128,canceled,9,8,6,2,2
2021-04-01,128,canceled,10,8,7,3,1
2021-05-01,128,canceled,11,8,8,4,4
2021-06-01,128,canceled,12,8,9,5,3
2021-07-01,128,canceled,13,8,10,6,0
2021-08-01,128,canceled,14,8,11,7,0
2021-09-01,128,canceled,15,8,12,8,0
2021-10-01,128,canceled,16,8,13,9,0
2021-11-01,128,active,17,9,13,1,0
2021-12-01,128,active,18,10,13,2,0
2020-03-01,129,canceled,,0,1,,5
2020-04-01,129,canceled,,0,2,,2
2020-05-01,129,canceled,,0,3,,6
2020-06-01,129,active,0,1,3,1,7
2020-07-01,129,active,1,2,3,2,2
2020-08-01,129,active,2,3,3,3,1
2020-09-01,129,active,3,4,3,4,2
2020-10-01,129,active,4,5,3,5,3
2020-11-01,129,canceled,5,5,4,1,1
2020-12-01,129,canceled,6,5,5,2,0
2021-01-01,129,canceled,7,5,6,3,0
2021-02-01,129,canceled,8,5,7,4,1
2021-03-01,129,canceled,9,5,8,5,2
2021-04-01,129,canceled,10,5,9,6,1
2021-05-01,129,active,11,6,9,1,4
2021-06-01,129,active,12,7,9,2,7
2021-07-01,129,active,13,8,9,3,0
2021-08-01,129,active,14,9,9,4,0
2021-09-01,129,active,15,10,9,5,0
2021-10-01,129,active,16,11,9,6,0
2021-11-01,129,canceled,17,11,10,1,0
2021-12-01,129,canceled,18,11,11,2,0
2020-08-01,130,active,0,1,0,,3
2020-09-01,130,active,1,2,0,,2
2020-10-01,130,active,2,3,0,,0
2020-11-01,130,canceled,3,3,1,1,0
2020-12-01,130,canceled,4,3,2,2,0
2021-01-01,130,canceled,5,3,3,3,2
2021-02-01,130,canceled,6,3,4,4,0
2021-03-01,130,canceled,7,3,5,5,2
2021-04-01,130,canceled,8,3,6,6,4
2021-05-01,130,canceled,9,3,7,7,8
2021-06-01,130,canceled,10,3,8,8,7
2021-07-01,130,active,11,4,8,1,0
2021-08-01,130,active,12,5,8,2,0
2021-09-01,130,active,13,6,8,3,0
2021-10-01,130,active,14,7,8,4,0
2021-11-01,130,active,15,8,8,5,0
2021-12-01,130,active,16,9,8,6,0
2020-02-01,131,canceled,,0,1,,34
2020-03-01,131,active,0,1,1,1,3
2020-04-01,131,active,1,2,1,2,0
2020-05-01,131,active,2,3,1,3,4
2020-06-01,131,active,3,4,1,4,4
2020-07-01,131,active,4,5,1,5,2
2020-08-01,131,active,5,6,1,6,2
2020-09-01,131,active,6,7,1,7,2
2020-10-01,131,active,7,8,1,8,1
2020-11-01,131,canceled,8,8,2,1,0
2020-12-01,131,canceled,9,8,3,2,1
2021-01-01,131,active,10,9,3,1,1
2021-02-01,131,active,11,10,3,2,1
2021-03-01,131,active,12,11,3,3,2
2021-04-01,131,active,13,12,3,4,0
2021-05-01,131,canceled,14,12,4,1,5
2021-06-01,131,canceled,15,12,5,2,6
2021-07-01,131,canceled,16,12,6,3,0
2021-08-01,131,active,17,13,6,1,0
2021-09-01,131,active,18,14,6,2,0
2021-10-01,131,active,19,15,6,3,0
2021-11-01,131,active,20,16,6,4,0
2021-12-01,131,active,21,17,6,5,0
2020-02-01,132,active,0,1,0,,24
2020-03-01,132,active,1,2,0,,7
2020-04-01,132,active,2,3,0,,1
2020-05-01,132,active,3,4,0,,5
2020-06-01,132,active,4,5,0,,6
2020-07-01,132,active,5,6,0,,3
2020-08-01,132,active,6,7,0,,1
2020-09-01,132,active,7,8,0,,1
2020-10-01,132,active,8,9,0,,0
2020-11-01,132,active,9,10,0,,2
2020-12-01,132,canceled,10,10,1,1,2
2021-01-01,132,canceled,11,10,2,2,0
2021-02-01,132,canceled,12,10,3,3,2
2021-03-01,132,canceled,13,10,4,4,0
2021-04-01,132,canceled,14,10,5,5,3
2021-05-01,132,canceled,15,10,6,6,6
2021-06-01,132,canceled,16,10,7,7,6
2021-07-01,132,canceled,17,10,8,8,0
2021-08-01,132,canceled,18,10,9,9,0
2021-09-01,132,canceled,19,10,10,10,0
2021-10-01,132,active,20,11,10,1,0
2021-11-01,132,active,21,12,10,2,0
2021-12-01,132,active,22,13,10,3,0
2020-04-01,133,canceled,,0,1,,0
2020-05-01,133,canceled,,0,2,,8
2020-06-01,133,canceled,,0,3,,2
2020-07-01,133,canceled,,0,4,,4
2020-08-01,133,active,0,1,4,1,2
2020-09-01,133,active,1,2,4,2,2
2020-10-01,133,active,2,3,4,3,1
2020-11-01,133,active,3,4,4,4,3
2020-12-01,133,active,4,5,4,5,0
2021-01-01,133,active,5,6,4,6,0
2021-02-01,133,active,6,7,4,7,1
2021-03-01,133,active,7,8,4,8,2
2021-04-01,133,active,8,9,4,9,0
2021-05-01,133,active,9,10,4,10,8
2021-06-01,133,active,10,11,4,11,5
2021-07-01,133,active,11,12,4,12,0
2021-08-01,133,active,12,13,4,13,0
2021-09-01,133,active,13,14,4,14,0
2021-10-01,133,active,14,15,4,15,0
2020-01-01,134,canceled,,0,1,,38
2020-02-01,134,canceled,,0,2,,31
2020-03-01,134,active,0,1,2,1,2
2020-04-01,134,active,1,2,2,2,2
2020-05-01,134,active,2,3,2,3,3
2020-06-01,134,canceled,3,3,3,1,3
2020-07-01,134,canceled,4,3,4,2,4
2020-08-01,134,canceled,5,3,5,3,1
2020-09-01,134,canceled,6,3,6,4,0
2020-10-01,134,active,7,4,6,1,1
2020-11-01,134,active,8,5,6,2,3
2020-12-01,134,canceled,9,5,7,1,0
2021-01-01,134,canceled,10,5,8,2,2
2021-02-01,134,canceled,11,5,9,3,1
2021-03-01,134,active,12,6,9,1,2
2021-04-01,134,canceled,13,6,10,1,1
2021-05-01,134,active,14,7,10,1,8
2021-06-01,134,active,15,8,10,2,5
2021-07-01,134,active,16,9,10,3,0
2021-08-01,134,active,17,10,10,4,0
2021-09-01,134,active,18,11,10,5,0
2021-10-01,134,active,19,12,10,6,0
2021-11-01,134,active,20,13,10,7,0
2021-12-01,134,active,21,14,10,8,0
2020-02-01,135,canceled,,0,1,,33
2020-03-01,135,canceled,,0,2,,7
2020-04-01,135,canceled,,0,3,,0
2020-05-01,135,canceled,,0,4,,5
2020-06-01,135,canceled,,0,5,,4
2020-07-01,135,canceled,,0,6,,2
2020-08-01,135,canceled,,0,7,,0
2020-09-01,135,active,0,1,7,1,0
2020-10-01,135,active,1,2,7,2,2
2020-11-01,135,active,2,3,7,3,1
2020-12-01,135,active,3,4,7,4,1
2021-01-01,135,active,4,5,7,5,0
2021-02-01,135,canceled,5,5,8,1,1
2021-03-01,135,canceled,6,5,9,2,1
2021-04-01,135,canceled,7,5,10,3,1
2021-05-01,135,canceled,8,5,11,4,5
2021-06-01,135,canceled,9,5,12,5,5
2021-07-01,135,canceled,10,5,13,6,0
2021-08-01,135,canceled,11,5,14,7,0
2021-09-01,135,canceled,12,5,15,8,0
2021-10-01,135,canceled,13,5,16,9,0
2021-11-01,135,canceled,14,5,17,10,0
2021-12-01,135,canceled,15,5,18,11,0
2020-04-01,136,active,0,1,0,,2
2020-05-01,136,active,1,2,0,,2
2020-06-01,136,active,2,3,0,,2
2020-07-01,136,active,3,4,0,,2
2020-08-01,136,active,4,5,0,,0
2020-09-01,136,active,5,6,0,,0
2020-10-01,136,canceled,6,6,1,1,1
2020-11-01,136,canceled,7,6,2,2,1
2020-12-01,136,canceled,8,6,3,3,3
2021-01-01,136,canceled,9,6,4,4,2
2021-02-01,136,active,10,7,4,1,0
2021-03-01,136,canceled,11,7,5,1,0
2021-04-01,136,active,12,8,5,1,3
2021-05-01,136,active,13,9,5,2,8
2021-06-01,136,active,14,10,5,3,6
2021-07-01,136,active,15,11,5,4,0
2021-08-01,136,active,16,12,5,5,0
2021-09-01,136,active,17,13,5,6,0
2021-10-01,136,active,18,14,5,7,0
2021-11-01,136,active,19,15,5,8,0
2021-12-01,136,active,20,16,5,9,0
2020-06-01,137,canceled,,0,1,,2
2020-07-01,137,canceled,,0,2,,1
2020-08-01,137,canceled,,0,3,,2
2020-09-01,137,canceled,,0,4,,0
2020-10-01,137,canceled,,0,5,,2
2020-11-01,137,canceled,,0,6,,0
2020-12-01,137,canceled,,0,7,,1
2021-01-01,137,canceled,,0,8,,2
2021-02-01,137,active,0,1,8,1,1
2021-03-01,137,active,1,2,8,2,1
2021-04-01,137,active,2,3,8,3,2
2021-05-01,137,canceled,3,3,9,1,6
2021-06-01,137,canceled,4,3,10,2,5
2021-07-01,137,canceled,5,3,11,3,0
2021-08-01,137,canceled,6,3,12,4,0
2021-09-01,137,canceled,7,3,13,5,0
2021-10-01,137,canceled,8,3,14,6,0
2021-11-01,137,canceled,9,3,15,7,0
2021-12-01,137,canceled,10,3,16,8,0
2020-01-01,138,active,0,1,0,,41
2020-02-01,138,active,1,2,0,,23
2020-03-01,138,active,2,3,0,,3
2020-04-01,138,canceled,3,3,1,1,1
2020-05-01,138,active,4,4,1,1,5
2020-06-01,138,active,5,5,1,2,4
2020-07-01,138,active,6,6,1,3,0
2020-08-01,138,active,7,7,1,4,5
2020-09-01,138,canceled,8,7,2,1,4
2020-10-01,138,active,9,8,2,1,1
2020-11-01,138,active,10,9,2,2,0
2020-12-01,138,active,11,10,2,3,0
2021-01-01,138,active,12,11,2,4,0
2021-02-01,138,active,13,12,2,5,0
2021-03-01,138,canceled,14,12,3,1,2
2021-04-01,138,canceled,15,12,4,2,1
2021-05-01,138,canceled,16,12,5,3,10
2021-06-01,138,active,17,13,5,1,2
2021-07-01,138,active,18,14,5,2,0
2021-08-01,138,active,19,15,5,3,0
2021-09-01,138,active,20,16,5,4,0
2021-10-01,138,canceled,21,16,6,1,0
2020-04-01,139,active,0,1,0,,1
2020-05-01,139,active,1,2,0,,2
2020-06-01,139,active,2,3,0,,1
2020-07-01,139,active,3,4,0,,5
2020-08-01,139,active,4,5,0,,2
2020-09-01,139,active,5,6,0,,1
2020-10-01,139,active,6,7,0,,5
2020-11-01,139,active,7,8,0,,0
2020-12-01,139,active,8,9,0,,0
2021-01-01,139,active,9,10,0,,2
2021-02-01,139,active,10,11,0,,3
2021-03-01,139,active,11,12,0,,2
2021-04-01,139,active,12,13,0,,2
2021-05-01,139,active,13,14,0,,4
2021-06-01,139,active,14,15,0,,4
2021-07-01,139,canceled,15,15,1,1,0
2021-08-01,139,active,16,16,1,1,0
2021-09-01,139,active,17,17,1,2,0
2021-10-01,139,active,18,18,1,3,0
2020-02-01,140,active,0,1,0,,29
2020-03-01,140,active,1,2,0,,4
2020-04-01,140,canceled,2,2,1,1,0
2020-05-01,140,active,3,3,1,1,2
2020-06-01,140,active,4,4,1,2,4
2020-07-01,140,active,5,5,1,3,3
2020-08-01,140,active,6,6,1,4,1
2020-09-01,140,active,7,7,1,5,1
2020-10-01,140,active,8,8,1,6,0
2020-11-01,140,active,9,9,1,7,0
2020-12-01,140,active,10,10,1,8,1
2021-01-01,140,canceled,11,10,2,1,3
2021-02-01,140,active,12,11,2,1,0
2021-03-01,140,active,13,12,2,2,0
2021-04-01,140,active,14,13,2,3,2
2021-05-01,140,canceled,15,13,3,1,1
2021-06-01,140,active,16,14,3,1,7
2021-07-01,140,active,17,15,3,2,0
2021-08-01,140,active,18,16,3,3,0
2021-09-01,140,active,19,17,3,4,0
2021-10-01,140,canceled,20,17,4,1,0
2021-11-01,140,canceled,21,17,5,2,0
2021-12-01,140,canceled,22,17,6,3,0
2020-05-01,141,active,0,1,0,,9
2020-06-01,141,active,1,2,0,,6
2020-07-01,141,active,2,3,0,,4
2020-08-01,141,active,3,4,0,,3
2020-09-01,141,active,4,5,0,,2
2020-10-01,141,active,5,6,0,,1
2020-11-01,141,active,6,7,0,,3
2020-12-01,141,active,7,8,0,,0
2021-01-01,141,active,8,9,0,,0
2021-02-01,141,active,9,10,0,,0
2021-03-01,141,canceled,10,10,1,1,1
2021-04-01,141,canceled,11,10,2,2,2
2021-05-01,141,canceled,12,10,3,3,5
2021-06-01,141,canceled,13,10,4,4,8
2021-07-01,141,canceled,14,10,5,5,0
2021-08-01,141,active,15,11,5,1,0
2021-09-01,141,active,16,12,5,2,0
2021-10-01,141,active,17,13,5,3,0
2020-02-01,142,canceled,,0,1,,26
2020-03-01,142,canceled,,0,2,,6
2020-04-01,142,canceled,,0,3,,0
2020-05-01,142,canceled,,0,4,,7
2020-06-01,142,canceled,,0,5,,8
2020-07-01,142,canceled,,0,6,,0
2020-08-01,142,canceled,,0,7,,2
2020-09-01,142,active,0,1,7,1,2
2020-10-01,142,active,1,2,7,2,0
2020-11-01,142,active,2,3,7,3,1
2020-12-01,142,active,3,4,7,4,0
2021-01-01,142,active,4,5,7,5,3
2021-02-01,142,canceled,5,5,8,1,1
2021-03-01,142,canceled,6,5,9,2,1
2021-04-01,142,canceled,7,5,10,3,1
2021-05-01,142,canceled,8,5,11,4,9
2021-06-01,142,canceled,9,5,12,5,5
2021-07-01,142,canceled,10,5,13,6,0
2021-08-01,142,canceled,11,5,14,7,0
2021-09-01,142,active,12,6,14,1,0
2021-10-01,142,active,13,7,14,2,0
2021-11-01,142,active,14,8,14,3,0
2021-12-01,142,active,15,9,14,4,0
2020-02-01,143,canceled,,0,1,,29
2020-03-01,143,active,0,1,1,1,2
2020-04-01,143,canceled,1,1,2,1,2
2020-05-01,143,canceled,2,1,3,2,8
2020-06-01,143,active,3,2,3,1,4
2020-07-01,143,active,4,3,3,2,1
2020-08-01,143,canceled,5,3,4,1,0
2020-09-01,143,canceled,6,3,5,2,3
2020-10-01,143,canceled,7,3,6,3,2
2020-11-01,143,canceled,8,3,7,4,0
2020-12-01,143,canceled,9,3,8,5,0
2021-01-01,143,canceled,10,3,9,6,1
2021-02-01,143,active,11,4,9,1,3
2021-03-01,143,active,12,5,9,2,1
2021-04-01,143,active,13,6,9,3,2
2021-05-01,143,active,14,7,9,4,3
2021-06-01,143,active,15,8,9,5,9
2021-07-01,143,active,16,9,9,6,0
2021-08-01,143,active,17,10,9,7,0
2021-09-01,143,active,18,11,9,8,0
2021-10-01,143,active,19,12,9,9,0
2021-11-01,143,active,20,13,9,10,0
2021-12-01,143,active,21,14,9,11,0
2020-03-01,144,canceled,,0,1,,7
2020-04-01,144,canceled,,0,2,,1
2020-05-01,144,canceled,,0,3,,6
2020-06-01,144,canceled,,0,4,,9
2020-07-01,144,canceled,,0,5,,5
2020-08-01,144,active,0,1,5,1,2
2020-09-01,144,active,1,2,5,2,3
2020-10-01,144,active,2,3,5,3,1
2020-11-01,144,canceled,3,3,6,1,2
2020-12-01,144,canceled,4,3,7,2,1
2021-01-01,144,canceled,5,3,8,3,2
2021-02-01,144,canceled,6,3,9,4,1
2021-03-01,144,canceled,7,3,10,5,2
2021-04-01,144,canceled,8,3,11,6,3
2021-05-01,144,canceled,9,3,12,7,6
2021-06-01,144,canceled,10,3,13,8,9
2021-07-01,144,canceled,11,3,14,9,0
2021-08-01,144,canceled,12,3,15,10,0
2021-09-01,144,canceled,13,3,16,11,0
2021-10-01,144,canceled,14,3,17,12,0
2021-11-01,144,active,15,4,17,1,0
2021-12-01,144,canceled,16,4,18,1,0
2020-04-01,145,active,0,1,0,,0
2020-05-01,145,active,1,2,0,,3
2020-06-01,145,active,2,3,0,,9
2020-07-01,145,active,3,4,0,,4
2020-08-01,145,active,4,5,0,,2
2020-09-01,145,canceled,5,5,1,1,1
2020-10-01,145,canceled,6,5,2,2,0
2020-11-01,145,canceled,7,5,3,3,1
2020-12-01,145,canceled,8,5,4,4,0
2021-01-01,145,canceled,9,5,5,5,2
2021-02-01,145,canceled,10,5,6,6,2
2021-03-01,145,canceled,11,5,7,7,0
2021-04-01,145,active,12,6,7,1,1
2021-05-01,145,active,13,7,7,2,4
2021-06-01,145,active,14,8,7,3,9
2021-07-01,145,active,15,9,7,4,0
2021-08-01,145,active,16,10,7,5,0
2021-09-01,145,active,17,11,7,6,0
2021-10-01,145,active,18,12,7,7,0
2021-11-01,145,active,19,13,7,8,0
2021-12-01,145,active,20,14,7,9,0
2020-01-01,146,canceled,,0,1,,39
2020-02-01,146,canceled,,0,2,,28
2020-03-01,146,canceled,,0,3,,8
2020-04-01,146,canceled,,0,4,,5
2020-05-01,146,canceled,,0,5,,5
2020-06-01,146,active,0,1,5,1,5
2020-07-01,146,active,1,2,5,2,0
2020-08-01,146,active,2,3,5,3,4
2020-09-01,146,active,3,4,5,4,1
2020-10-01,146,active,4,5,5,5,0
2020-11-01,146,active,5,6,5,6,0
2020-12-01,146,active,6,7,5,7,1
2021-01-01,146,active,7,8,5,8,3
2021-02-01,146,canceled,8,8,6,1,1
2021-03-01,146,canceled,9,8,7,2,1
2021-04-01,146,active,10,9,7,1,3
2021-05-01,146,active,11,10,7,2,3
2021-06-01,146,active,12,11,7,3,5
2021-07-01,146,active,13,12,7,4,0
2021-08-01,146,canceled,14,12,8,1,0
2021-09-01,146,canceled,15,12,9,2,0
2021-10-01,146,active,16,13,9,1,0
2021-11-01,146,active,17,14,9,2,0
2021-12-01,146,active,18,15,9,3,0
2020-03-01,147,active,0,1,0,,5
2020-04-01,147,active,1,2,0,,2
2020-05-01,147,active,2,3,0,,4
2020-06-01,147,active,3,4,0,,3
2020-07-01,147,active,4,5,0,,5
2020-08-01,147,active,5,6,0,,3
2020-09-01,147,active,6,7,0,,2
2020-10-01,147,active,7,8,0,,1
2020-11-01,147,canceled,8,8,1,1,0
2020-12-01,147,canceled,9,8,2,2,1
2021-01-01,147,canceled,10,8,3,3,0
2021-02-01,147,canceled,11,8,4,4,0
2021-03-01,147,canceled,12,8,5,5,1
2021-04-01,147,canceled,13,8,6,6,1
2021-05-01,147,canceled,14,8,7,7,6
2021-06-01,147,canceled,15,8,8,8,7
2021-07-01,147,canceled,16,8,9,9,0
2021-08-01,147,active,17,9,9,1,0
2021-09-01,147,active,18,10,9,2,0
2021-10-01,147,active,19,11,9,3,0
2021-11-01,147,active,20,12,9,4,0
2021-12-01,147,active,21,13,9,5,0
2020-03-01,148,active,0,1,0,,5
2020-04-01,148,active,1,2,0,,1
2020-05-01,148,canceled,2,2,1,1,2
2020-06-01,148,canceled,3,2,2,2,6
2020-07-01,148,canceled,4,2,3,3,0
2020-08-01,148,active,5,3,3,1,2
2020-09-01,148,active,6,4,3,2,2
2020-10-01,148,active,7,5,3,3,0
2020-11-01,148,canceled,8,5,4,1,2
2020-12-01,148,active,9,6,4,1,2
2021-01-01,148,active,10,7,4,2,4
2021-02-01,148,canceled,11,7,5,1,1
2021-03-01,148,canceled,12,7,6,2,1
2021-04-01,148,canceled,13,7,7,3,1
2021-05-01,148,canceled,14,7,8,4,4
2021-06-01,148,canceled,15,7,9,5,5
2021-07-01,148,active,16,8,9,1,0
2021-08-01,148,active,17,9,9,2,0
2021-09-01,148,active,18,10,9,3,0
2021-10-01,148,active,19,11,9,4,0
2021-11-01,148,canceled,20,11,10,1,0
2020-01-01,149,canceled,,0,1,,36
2020-02-01,149,canceled,,0,2,,32
2020-03-01,149,canceled,,0,3,,6
2020-04-01,149,canceled,,0,4,,1
2020-05-01,149,canceled,,0,5,,4
2020-06-01,149,canceled,,0,6,,5
2020-07-01,149,active,0,1,6,1,0
2020-08-01,149,active,1,2,6,2,0
2020-09-01,149,canceled,2,2,7,1,1
2020-10-01,149,canceled,3,2,8,2,1
2020-11-01,149,canceled,4,2,9,3,0
2020-12-01,149,canceled,5,2,10,4,0
2021-01-01,149,canceled,6,2,11,5,1
2021-02-01,149,canceled,7,2,12,6,1
2021-03-01,149,canceled,8,2,13,7,1
2021-04-01,149,canceled,9,2,14,8,1
2021-05-01,149,canceled,10,2,15,9,4
2021-06-01,149,canceled,11,2,16,10,3
2021-07-01,149,canceled,12,2,17,11,0
2021-08-01,149,canceled,13,2,18,12,0
2021-09-01,149,canceled,14,2,19,13,0
2021-10-01,149,canceled,15,2,20,14,0
2021-11-01,149,active,16,3,20,1,0
2021-12-01,149,active,17,4,20,2,0
2020-02-01,150,active,0,1,0,,25
2020-03-01,150,active,1,2,0,,3
2020-04-01,150,active,2,3,0,,0
2020-05-01,150,active,3,4,0,,3
2020-06-01,150,active,4,5,0,,6
2020-07-01,150,active,5,6,0,,4
2020-08-01,150,active,6,7,0,,0
2020-09-01,150,active,7,8,0,,2
2020-10-01,150,active,8,9,0,,0
2020-11-01,150,canceled,9,9,1,1,0
2020-12-01,150,canceled,10,9,2,2,0
2021-01-01,150,canceled,11,9,3,3,1
2021-02-01,150,canceled,12,9,4,4,2
2021-03-01,150,canceled,13,9,5,5,2
2021-04-01,150,canceled,14,9,6,6,1
2021-05-01,150,canceled,15,9,7,7,5
2021-06-01,150,active,16,10,7,1,5
2021-07-01,150,active,17,11,7,2,0
2021-08-01,150,active,18,12,7,3,0
2021-09-01,150,active,19,13,7,4,0
2021-10-01,150,active,20,14,7,5,0
2021-11-01,150,canceled,21,14,8,1,0
2021-12-01,150,canceled,22,14,9,2,0
2020-01-01,151,canceled,,0,1,,46
2020-02-01,151,canceled,,0,2,,29
2020-03-01,151,canceled,,0,3,,5
2020-04-01,151,canceled,,0,4,,2
2020-05-01,151,canceled,,0,5,,5
2020-06-01,151,canceled,,0,6,,8
2020-07-01,151,canceled,,0,7,,4
2020-08-01,151,canceled,,0,8,,3
2020-09-01,151,canceled,,0,9,,2
2020-10-01,151,canceled,,0,10,,3
2020-11-01,151,canceled,,0,11,,2
2020-12-01,151,canceled,,0,12,,0
2021-01-01,151,canceled,,0,13,,2
2021-02-01,151,canceled,,0,14,,0
2021-03-01,151,canceled,,0,15,,1
2021-04-01,151,canceled,,0,16,,0
2021-05-01,151,canceled,,0,17,,5
2021-06-01,151,canceled,,0,18,,3
2021-07-01,151,active,0,1,18,1,0
2021-08-01,151,active,1,2,18,2,0
2021-09-01,151,active,2,3,18,3,0
2021-10-01,151,active,3,4,18,4,0
2020-04-01,152,canceled,,0,1,,1
2020-05-01,152,canceled,,0,2,,3
2020-06-01,152,canceled,,0,3,,3
2020-07-01,152,canceled,,0,4,,1
2020-08-01,152,active,0,1,4,1,3
2020-09-01,152,canceled,1,1,5,1,0
2020-10-01,152,canceled,2,1,6,2,0
